Geography,Car_Truck_Van_Less_Than_15,Car_Truck_Van_15_to_29,Car_Truck_Van_30_to_44,Car_Truck_Van_45_to_59,Car_Truck_Van_More_Than_60,Car_Truck_Van_Avg_Duration,Public_Transit_Less_Than_15,Public_Transit_15_to_29,Public_Transit_30_to_44,Public_Transit_45_to_59,Public_Transit_More_Than_60,Public_Transit_Avg_Duration,Active_Transportation_Less_Than_15,Active_Transportation_15_to_29,Active_Transportation_30_to_44,Active_Transportation_45_to_59,Active_Transportation_More_Than_60,Active_Transportation_Avg_Duration,Motorcycle_Scooter_Moped_Less_Than_15,Motorcycle_Scooter_Moped_15_to_29,Motorcycle_Scooter_Moped_30_to_44,Motorcycle_Scooter_Moped_45_to_59,Motorcycle_Scooter_Moped_More_Than_60,Motorcycle_Scooter_Moped_Avg_Duration,Other_Less_Than_15,Other_15_to_29,Other_30_to_44,Other_45_to_59,Other_More_Than_60,Other_Avg_Duration,Province or Territory Abbreviation,Population (2021),Population (2016),Population Percentage Change (2016->2021),Land area (2021) (km^2),Population density per km^2 (2021)
"Division No.  1, Subd. V",0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,55,36,52.8,870.89,0.1
Portugal Cove South,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,86,150,-42.7,1.08,79.9
Trepassey,35,0,0,0,0,15.4,0,0,0,0,0,0.0,20,0,0,0,0,6.8,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,405,481,-15.8,54.21,7.5
St. Shott's,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,55,66,-16.7,1.07,51.3
"Division No.  1, Subd. U",50,10,20,15,0,20.2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,"1,373","1,625",-15.5,742.38,1.8
Cape Broyle,55,10,0,0,10,19.6,0,0,0,0,0,0.0,0,10,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,499,489,2,10.09,49.5
Renews-Cappahayden,20,0,0,0,0,8.8,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,280,301,-7,125.93,2.2
Fermeuse,35,0,0,0,0,10.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,266,325,-18.2,38.33,6.9
Port Kirwan,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,49,52,-5.8,8.84,5.5
Aquaforte,0,55,0,0,10,24.4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,74,80,-7.5,6.88,10.7
Ferryland,30,25,20,0,25,29.8,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,371,414,-10.4,13.22,28.1
"Division No.  1, Subd. W",0,10,0,0,10,31.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,10,0,0,0,0,0.0,N.L.,469,435,7.8,821.97,0.6
St. Vincent's-St. Stephen's-Peter's River,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,263,313,-16,86.62,3
Gaskiers-Point La Haye,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,N.L.,189,232,-18.5,23.29,8.1
