Geography,Province or Territory Abbreviation,Population (2021),Population (2016),Population Percentage Change (2016->2021),Land area (2021) (km^2),Population density per km^2 (2021)
Admirals Beach,N.L.,97,135,-28.1,24.2,4
Aquaforte,N.L.,74,80,-7.5,6.88,10.7
Arnold's Cove,N.L.,964,949,1.6,5.25,183.8
Avondale,N.L.,584,641,-8.9,29.69,19.7
Bauline,N.L.,412,452,-8.8,16.05,25.7
Bay Bulls,N.L.,"1,566","1,500",4.4,30.6,51.2
Bay Roberts,N.L.,"5,974","6,012",-0.6,24.51,243.7
Bay de Verde,N.L.,347,392,-11.5,13.24,26.2
Bishop's Cove,N.L.,252,287,-12.2,1.9,132.4
Branch,N.L.,177,228,-22.4,16.18,10.9
Brigus,N.L.,699,723,-3.3,11.48,60.9
Bryant's Cove,N.L.,343,395,-13.2,4.9,70
Cape Broyle,N.L.,499,489,2,10.09,49.5
Carbonear,N.L.,"4,696","4,858",-3.3,12.44,377.4
Chance Cove,N.L.,213,256,-16.8,18.14,11.7
Chapel Arm,N.L.,446,457,-2.4,28.08,15.9
Clarke's Beach,N.L.,"1,400","1,558",-10.1,12.64,110.7
Colinet,N.L.,103,80,28.8,6.01,17.1
Colliers,N.L.,613,654,-6.3,26.24,23.4
Come By Chance,N.L.,208,228,-8.8,39.55,5.3
Conception Bay South,N.L.,"27,168","26,199",3.7,59.72,454.9
Conception Harbour,N.L.,624,685,-8.9,21.47,29.1
Cupids,N.L.,699,743,-5.9,10.86,64.4
"Division No.  1, Subd. A 2",N.L.,653,666,-2,772.38,0.8
"Division No.  1, Subd. B",N.L.,356,360,-1.1,454.34,0.8
"Division No.  1, Subd. C",N.L.,106,100,6,815.64,0.1
"Division No.  1, Subd. D",N.L.,119,88,35.2,298.06,0.4
"Division No.  1, Subd. E",N.L.,"2,835","2,943",-3.7,218.85,13
"Division No.  1, Subd. F",N.L.,539,548,-1.6,173.02,3.1
"Division No.  1, Subd. G",N.L.,"1,673","1,866",-10.3,302.69,5.5
"Division No.  1, Subd. H",N.L.,328,390,-15.9,57.2,5.7
"Division No.  1, Subd. I",N.L.,320,299,7,64.11,5
"Division No.  1, Subd. J",N.L.,0,0,0,0.45,0
"Division No.  1, Subd. K",N.L.,35,28,25,37.13,0.9
"Division No.  1, Subd. L",N.L.,874,928,-5.8,8.1,107.9
"Division No.  1, Subd. M",N.L.,"1,145","1,073",6.7,139.98,8.2
"Division No.  1, Subd. N",N.L.,356,372,-4.3,12.85,27.7
"Division No.  1, Subd. O",N.L.,829,663,25,78.38,10.6
"Division No.  1, Subd. R",N.L.,264,322,-18,16.82,15.7
"Division No.  1, Subd. U",N.L.,"1,373","1,625",-15.5,742.38,1.8
"Division No.  1, Subd. V",N.L.,55,36,52.8,870.89,0.1
"Division No.  1, Subd. W",N.L.,469,435,7.8,821.97,0.6
"Division No.  1, Subd. X",N.L.,541,513,5.5,567.62,1
"Division No.  1, Subd. Y",N.L.,"1,211","1,118",8.3,190.76,6.3
Fermeuse,N.L.,266,325,-18.2,38.33,6.9
Ferryland,N.L.,371,414,-10.4,13.22,28.1
Flatrock,N.L.,"1,722","1,683",2.3,18.1,95.1
Fox Harbour,N.L.,226,252,-10.3,19.81,11.4
Gaskiers-Point La Haye,N.L.,189,232,-18.5,23.29,8.1
Hant's Harbour,N.L.,318,329,-3.3,31.86,10
Harbour Grace,N.L.,"2,796","2,995",-6.6,33.71,82.9
Harbour Main-Chapel's Cove-Lakeview,N.L.,"1,065","1,067",-0.2,21.19,50.3
Heart's Content,N.L.,330,340,-2.9,62.87,5.2
Heart's Delight-Islington,N.L.,646,674,-4.2,26.95,24
Heart's Desire,N.L.,184,213,-13.6,17.02,10.8
Holyrood,N.L.,"2,471","2,463",0.3,126.02,19.6
Logy Bay-Middle Cove-Outer Cove,N.L.,"2,364","2,221",6.4,16.99,139.1
Long Harbour-Mount Arlington Heights 2,N.L.,185,250,-26,18.33,10.1
Mount Carmel-Mitchells Brook-St. Catherine's,N.L.,382,349,9.5,60.76,6.3
Mount Pearl 2,N.L.,"22,477","23,120",-2.8,15.65,"1,436.20"
New Perlican,N.L.,200,186,7.5,24.45,8.2
Norman's Cove-Long Cove,N.L.,647,666,-2.9,20.15,32.1
North River,N.L.,579,570,1.6,4.2,137.7
Old Perlican,N.L.,608,633,-3.9,14.14,43
Paradise,N.L.,"22,957","21,389",7.3,29.67,773.8
Petty Harbour-Maddox Cove,N.L.,947,960,-1.4,4.4,215.3
Placentia,N.L.,"3,289","3,496",-5.9,57.8,56.9
Point Lance,N.L.,87,102,-14.7,28.29,3.1
Port Kirwan,N.L.,49,52,-5.8,8.84,5.5
Portugal Cove South,N.L.,86,150,-42.7,1.08,79.9
Portugal Cove-St. Philip's,N.L.,"8,415","8,147",3.3,57.61,146.1
Pouch Cove,N.L.,"2,063","2,069",-0.3,58.24,35.4
Renews-Cappahayden,N.L.,280,301,-7,125.93,2.2
Riverhead,N.L.,165,185,-10.8,101.84,1.6
Salmon Cove,N.L.,764,680,12.4,4.21,181.6
Small Point-Adam's Cove-Blackhead-Broad Cove,N.L.,414,387,7,23.12,17.9
South River,N.L.,674,647,4.2,5.97,113
Southern Harbour 2,N.L.,313,395,-20.8,5.39,58.1
Spaniard's Bay,N.L.,"2,630","2,653",-0.9,66.09,39.8
St. Bride's,N.L.,318,252,26.2,5.38,59.1
St. John's,N.L.,"110,525","108,860",1.5,446.02,247.8
St. Joseph's,N.L.,86,115,-25.2,29.22,2.9
St. Mary's,N.L.,313,347,-9.8,36.41,8.6
St. Shott's,N.L.,55,66,-16.7,1.07,51.3
St. Vincent's-St. Stephen's-Peter's River,N.L.,263,313,-16,86.62,3
Sunnyside,N.L.,407,396,2.8,39.02,10.4
Torbay,N.L.,"7,852","7,899",-0.6,34.89,225
Trepassey,N.L.,405,481,-15.8,54.21,7.5
Upper Island Cove,N.L.,"1,401","1,561",-10.2,7.82,179.2
Victoria,N.L.,"1,658","1,800",-7.9,17.96,92.3
Wabana,N.L.,"1,815","2,146",-15.4,14.49,125.3
Whitbourne,N.L.,955,890,7.3,21.51,44.4
Whiteway,N.L.,351,373,-5.9,22.53,15.6
Winterton,N.L.,436,450,-3.1,10.61,41.1
Witless Bay,N.L.,"1,640","1,619",1.3,17.61,93.1
Baine Harbour,N.L.,126,124,1.6,4.15,30.4
Bay L'Argent,N.L.,234,241,-2.9,3.74,62.6
Burin,N.L.,"2,237","2,315",-3.4,34.49,64.9
"Division No.  2, Subd. C",N.L.,538,566,-4.9,"1,463.65",0.4
"Division No.  2, Subd. D",N.L.,204,226,-9.7,33.17,6.2
"Division No.  2, Subd. E",N.L.,251,246,2,136.58,1.8
"Division No.  2, Subd. F",N.L.,99,117,-15.4,198.89,0.5
"Division No.  2, Subd. G",N.L.,25,10,150,366.98,0.1
"Division No.  2, Subd. H",N.L.,196,178,10.1,269.35,0.7
"Division No.  2, Subd. I",N.L.,123,136,-9.6,491.98,0.3
"Division No.  2, Subd. J",N.L.,0,0,0,267.48,0
"Division No.  2, Subd. K",N.L.,502,558,-10,"1,027.96",0.5
"Division No.  2, Subd. L",N.L.,32,0,0,873.62,0
English Harbour East,N.L.,117,139,-15.8,2.81,41.7
Fortune,N.L.,"1,285","1,401",-8.3,54.77,23.5
Fox Cove-Mortier,N.L.,252,295,-14.6,25.39,9.9
Frenchman's Cove,N.L.,159,169,-5.9,69.07,2.3
Garnish,N.L.,542,568,-4.6,39.1,13.9
Grand Bank,N.L.,"2,152","2,310",-6.8,16.82,127.9
Grand Le Pierre,N.L.,176,235,-25.1,142.81,1.2
Lamaline,N.L.,218,267,-18.4,79.75,2.7
Lawn,N.L.,583,624,-6.6,3.52,165.7
Lewin's Cove,N.L.,546,544,0.4,6.33,86.3
Little Bay East,N.L.,84,127,-33.9,1.56,53.8
Lord's Cove,N.L.,155,162,-4.3,29.91,5.2
Marystown,N.L.,"5,204","5,316",-2.1,62.23,83.6
Parkers Cove,N.L.,233,248,-6,4.77,48.8
Point May,N.L.,254,231,10,63.25,4
Point au Gaul,N.L.,67,88,-23.9,3.89,17.2
Red Harbour,N.L.,177,189,-6.3,11.19,15.8
Rushoon,N.L.,229,245,-6.5,5.89,38.9
St. Bernard's-Jacques Fontaine,N.L.,433,433,0,16.08,26.9
St. Lawrence,N.L.,"1,115","1,192",-6.5,34.86,32
Terrenceville,N.L.,446,482,-7.5,15.12,29.5
Winterland,N.L.,398,390,2.1,54.44,7.3
Belleoram,N.L.,348,374,-7,2.2,158.4
Burgeo,N.L.,"1,176","1,307",-10,29.51,39.9
Burnt Islands,N.L.,540,622,-13.2,9.48,57
Channel-Port aux Basques,N.L.,"3,547","4,067",-12.8,38.84,91.3
"Division No.  3, Subd. A",N.L.,45,24,87.5,"2,940.14",0
"Division No.  3, Subd. B",N.L.,0,0,0,253.36,0
"Division No.  3, Subd. C",N.L.,146,0,0,711.65,0.2
"Division No.  3, Subd. D",N.L.,188,262,-28.2,"6,611.07",0
"Division No.  3, Subd. E",N.L.,74,89,-16.9,"2,468.10",0
"Division No.  3, Subd. F",N.L.,115,119,-3.4,"2,548.59",0
"Division No.  3, Subd. H",N.L.,562,707,-20.5,665.06,0.8
"Division No.  3, Subd. I",N.L.,61,87,-29.9,"2,121.16",0
"Division No.  3, Subd. J",N.L.,38,51,-25.5,646.31,0.1
Gaultois,N.L.,100,136,-26.5,4.23,23.7
Harbour Breton,N.L.,"1,477","1,634",-9.6,13.82,106.9
Hermitage-Sandyville,N.L.,404,422,-4.3,29.14,13.9
Isle aux Morts,N.L.,559,664,-15.8,7.75,72.1
Milltown-Head of Bay d'Espoir,N.L.,669,749,-10.7,24.95,26.8
Morrisville,N.L.,93,101,-7.9,14.09,6.6
Pool's Cove,N.L.,143,193,-25.9,2.65,54.1
Ramea,N.L.,388,447,-13.2,1.86,208.9
Rencontre East,N.L.,115,139,-17.3,2.56,44.9
Rose Blanche-Harbour le Cou,N.L.,344,394,-12.7,4.49,76.7
Samiajij Miawpukek,N.L.,953,956,-0.3,16.7,57.1
Seal Cove (Fortune Bay),N.L.,100,242,-58.7,2.03,49.3
St. Alban's,N.L.,"1,189","1,186",0.3,20.48,58
St. Jacques-Coomb's Cove,N.L.,546,588,-7.1,81.89,6.7
Cape St. George,N.L.,809,853,-5.2,34.47,23.5
"Division No.  4, Subd. A 2",N.L.,"1,530","1,743",-12.2,"1,204.46",1.3
"Division No.  4, Subd. B",N.L.,"1,140","1,174",-2.9,"1,809.34",0.6
"Division No.  4, Subd. C",N.L.,591,747,-20.9,"2,365.45",0.2
"Division No.  4, Subd. D",N.L.,"1,212",860,40.9,"1,148.81",1.1
"Division No.  4, Subd. E",N.L.,"1,467","1,957",-25,295.42,5
Gallants,N.L.,50,50,0,6.33,7.9
Kippens,N.L.,"1,842","2,008",-8.3,14.24,129.4
Lourdes,N.L.,502,465,8,7.39,68
Port au Port East,N.L.,413,579,-28.7,25.06,16.5
Port au Port West-Aguathuna-Felix Cove,N.L.,384,449,-14.5,16.97,22.6
St. George's,N.L.,"1,139","1,203",-5.3,25.71,44.3
Stephenville,N.L.,"6,540","6,623",-1.3,35.27,185.4
Stephenville Crossing,N.L.,"1,634","1,719",-4.9,31.07,52.6
Cormack,N.L.,492,597,-17.6,133.65,3.7
Corner Brook,N.L.,"19,333","19,806",-2.4,147.88,130.7
Cox's Cove,N.L.,664,688,-3.5,7.23,91.8
Deer Lake,N.L.,"4,864","5,249",-7.3,73.26,66.4
"Division No.  5, Subd. A",N.L.,291,276,5.4,"2,412.93",0.1
"Division No.  5, Subd. C",N.L.,285,276,3.3,483.5,0.6
"Division No.  5, Subd. D",N.L.,30,34,-11.8,"1,320.15",0
"Division No.  5, Subd. E",N.L.,188,216,-13,"1,167.50",0.2
"Division No.  5, Subd. F",N.L.,746,823,-9.4,823.72,0.9
"Division No.  5, Subd. G",N.L.,414,468,-11.5,"3,409.22",0.1
Gillams,N.L.,506,410,23.4,6.72,75.3
Hampden,N.L.,439,429,2.3,32.99,13.3
Howley,N.L.,179,205,-12.7,19.91,9
Hughes Brook,N.L.,236,255,-7.5,1.56,151.3
Humber Arm South,N.L.,"1,537","1,599",-3.9,65.14,23.6
Irishtown-Summerside,N.L.,"1,260","1,418",-11.1,11.88,106
Jackson's Arm,N.L.,277,284,-2.5,7.07,39.2
Lark Harbour,N.L.,508,522,-2.7,12.94,39.3
Massey Drive,N.L.,"1,606","1,632",-1.6,2.45,655.1
McIvers,N.L.,575,538,6.9,11.97,48
Meadows,N.L.,404,626,-35.5,3.82,105.7
Mount Moriah,N.L.,700,746,-6.2,15.71,44.6
Pasadena,N.L.,"3,524","3,620",-2.7,49.17,71.7
Reidville,N.L.,550,509,8.1,58.28,9.4
Steady Brook,N.L.,416,444,-6.3,1.24,335.2
York Harbour,N.L.,372,344,8.1,13.88,26.8
Appleton,N.L.,620,574,8,6.33,98
Badger,N.L.,682,704,-3.1,1.89,361.6
Bishop's Falls,N.L.,"3,082","3,156",-2.3,26.38,116.8
Botwood,N.L.,"2,778","2,875",-3.4,14.56,190.8
Buchans,N.L.,590,642,-8.1,4.63,127.6
"Division No.  6, Subd. A",N.L.,101,128,-21.1,"5,264.73",0
"Division No.  6, Subd. C",N.L.,354,681,-48,"4,007.24",0.1
"Division No.  6, Subd. D 2",N.L.,596,563,5.9,"4,180.74",0.1
"Division No.  6, Subd. E",N.L.,175,194,-9.8,"2,294.74",0.1
Gander,N.L.,"11,880","11,688",1.6,104.53,113.7
Glenwood,N.L.,739,778,-5,7.08,104.4
Grand Falls-Windsor,N.L.,"13,853","14,171",-2.2,54.84,252.6
Millertown,N.L.,87,81,7.4,3.08,28.3
Norris Arm,N.L.,708,737,-3.9,41.35,17.1
Northern Arm,N.L.,371,426,-12.9,24.94,14.9
Peterview,N.L.,723,828,-12.7,6.34,114.1
Bonavista,N.L.,"3,190","3,448",-7.5,31.56,101.1
Centreville-Wareham-Trinity,N.L.,"1,116","1,147",-2.7,37.04,30.1
Clarenville,N.L.,"6,704","6,291",6.6,139.91,47.9
"Division No.  7, Subd. A",N.L.,140,143,-2.1,287.64,0.5
"Division No.  7, Subd. B",N.L.,57,10,470,858.94,0.1
"Division No.  7, Subd. D",N.L.,259,230,12.6,"2,457.85",0.1
"Division No.  7, Subd. E 2",N.L.,"2,573","2,649",-2.9,"1,631.51",1.6
"Division No.  7, Subd. F",N.L.,831,846,-1.8,296.95,2.8
"Division No.  7, Subd. G",N.L.,316,343,-7.9,144.35,2.2
"Division No.  7, Subd. I",N.L.,80,71,12.7,170.8,0.5
"Division No.  7, Subd. J",N.L.,577,459,25.7,272.61,2.1
"Division No.  7, Subd. K",N.L.,"1,153","1,275",-9.6,484.96,2.4
"Division No.  7, Subd. L",N.L.,"1,183","1,232",-4,242.89,4.9
"Division No.  7, Subd. M",N.L.,"1,856","1,966",-5.6,450.25,4.1
"Division No.  7, Subd. N",N.L.,55,49,12.2,"1,402.03",0
Dover,N.L.,579,662,-12.5,11.12,52.1
Duntara,N.L.,36,30,20,17.64,2
Eastport,N.L.,527,501,5.2,18.48,28.5
